county,municipality,muni_code,ld,cd,census_code,prez_dem,prez_rep,johnson,stein,castle,de_la_fuente,kennedy,la_riva,moorhead,write_in,total_votes,winner,first_place,second_place,margin_victory,prez_dem_per,prez_rep_per,johnson_per,stein_per,others_total,others_per
Atlantic,Absecon,0101,2,2,3400100,1762,1989,68,36,4,1,1,2,2,36,4530,prez_rep,1989,1762,5.011037528,38.89624724,43.90728477,1.501103753,0.794701987,172,3.796909492
Atlantic,Atlantic City,0102,2,2,3402080,8418,1800,61,61,12,1,4,14,6,25,10402,prez_dem,8418,1800,63.62238031,80.92674486,17.30436455,0.586425687,0.586425687,184,1.768890598
Atlantic,Brigantine,0103,2,2,3407810,1620,2335,84,37,4,1,2,7,1,31,4122,prez_rep,2335,1620,17.34594857,39.30131004,56.64725861,2.037845706,0.897622513,167,4.051431344
Atlantic,Buena,0104,2,2,3408680,712,894,35,21,5,2,1,5,1,9,1685,prez_rep,894,712,10.80118694,42.25519288,53.05637982,2.077151335,1.246290801,79,4.6884273
Atlantic,Buena Vista,0105,2,2,3408710,1366,1732,49,20,11,1,1,3,0,19,3202,prez_rep,1732,1366,11.43035603,42.66083698,54.091193,1.530293567,0.624609619,104,3.247970019
Atlantic,Corbin City,0106,1,2,3405160,79,148,10,2,3,0,0,0,0,1,243,prez_rep,148,79,28.39506173,32.51028807,60.90534979,4.115226337,0.823045268,16,6.58436214
Atlantic,Egg Harbor,0107,2,2,3400350,867,682,27,18,3,0,0,4,2,19,1622,prez_dem,867,682,11.40567201,53.45252774,42.04685573,1.664611591,1.10974106,73,4.500616523
Atlantic,Egg Harbor Twp,0108,2,2,3400290,9039,8781,369,170,52,15,3,24,10,142,18605,prez_dem,9039,8781,1.386723999,48.58371406,47.19699006,1.983337812,0.913732868,785,4.219295888
Atlantic,Estell Manor,0109,1,2,3401870,219,619,15,9,7,1,1,0,1,5,877,prez_rep,619,219,45.61003421,24.97149373,70.58152794,1.710376283,1.02622577,39,4.446978335
Atlantic,Folsom,0110,2,2,3403940,304,511,13,6,1,0,0,0,0,5,840,prez_rep,511,304,24.64285714,36.19047619,60.83333333,1.547619048,0.714285714,25,2.976190476
Atlantic,Galloway,0111,9,2,3405560,7486,7290,286,140,42,6,5,19,6,88,15368,prez_dem,7486,7290,1.275377408,48.71160854,47.43623113,1.861009891,0.910983863,592,3.852160333
Atlantic,Hamilton,0112,2,2,3409280,5364,4775,253,107,23,6,8,18,8,89,10651,prez_dem,5364,4775,5.529997183,50.36146841,44.83147122,2.375363816,1.004600507,512,4.80706037
Atlantic,Hammonton,0113,8,2,3409430,2117,3513,111,45,17,3,4,10,2,45,5867,prez_rep,3513,2117,23.79410261,36.08317709,59.8772797,1.891937958,0.767001875,237,4.039543208
Atlantic,Linwood,0114,2,2,3400530,1466,1847,79,43,8,1,0,3,1,42,3490,prez_rep,1847,1466,10.91690544,42.00573066,52.9226361,2.263610315,1.232091691,177,5.071633238
Atlantic,Longport,0115,2,2,3401370,137,254,11,1,0,0,1,0,0,0,404,prez_rep,254,137,28.96039604,33.91089109,62.87128713,2.722772277,0.247524753,13,3.217821782
Atlantic,Margate,0116,2,2,3403890,1332,1480,37,19,3,5,0,4,1,20,2901,prez_rep,1480,1332,5.101689073,45.91520165,51.01689073,1.275422268,0.65494657,89,3.067907618
Atlantic,Mullica,0117,2,2,3409410,1033,1548,51,23,6,1,3,4,0,13,2682,prez_rep,1548,1033,19.20208799,38.51603281,57.71812081,1.901565996,0.857568978,101,3.765846383
Atlantic,Northfield,0118,2,2,3402950,1756,2011,98,49,8,0,0,4,2,41,3969,prez_rep,2011,1756,6.424792139,44.24288234,50.66767448,2.469135802,1.234567901,202,5.089443185
Atlantic,Pleasantville,0119,2,2,3409640,4634,499,22,29,9,4,2,6,6,16,5227,prez_dem,4634,499,79.10847522,88.65506026,9.546585039,0.420891525,0.554811555,94,1.798354697
Atlantic,Port Republic,0120,9,2,3400600,225,381,15,5,4,2,0,1,0,7,640,prez_rep,381,225,24.375,35.15625,59.53125,2.34375,0.78125,34,5.3125
Atlantic,Somers Point,0121,2,2,3408430,2120,2148,109,43,10,1,3,6,5,50,4495,prez_rep,2148,2120,0.622914349,47.16351502,47.78642937,2.424916574,0.956618465,227,5.050055617
Atlantic,Ventnor,0122,2,2,3405620,1924,1871,87,44,8,1,1,6,0,37,3979,prez_dem,1924,1871,1.331992963,48.35385775,47.02186479,2.186479015,1.105805479,184,4.624277457
Atlantic,Weymouth,0123,1,2,3400330,492,774,25,5,3,1,2,3,1,10,1316,prez_rep,774,492,21.42857143,37.38601824,58.81458967,1.899696049,0.37993921,50,3.799392097
Bergen,Allendale,0201,40,5,3400700,1554,1638,84,30,3,1,2,0,0,56,3368,prez_rep,1638,1554,2.494061758,46.14014252,48.63420428,2.494061758,0.890736342,120,3.562945368
Bergen,Alpine,0202,37,5,3401090,391,380,11,9,0,0,0,0,0,2,793,prez_dem,391,380,1.387137453,49.30643127,47.91929382,1.387137453,1.134930643,20,2.522068096
Bergen,Bergenfield,0203,38,5,3405170,6902,3539,162,98,12,7,5,3,4,70,10802,prez_dem,6902,3539,31.1331235,63.89557489,32.7624514,1.499722274,0.9072394,291,2.693945566
